Month,Temperature_C,Humidity_PRC,Leaf_Wetness_Hr,Rainfall_mm,Wind_Speed_ms,UV_Index,Light_Intensity_Lux,Disease_Type
8,25.05,79.7,8.75,1.79,1.54,5.6,11565.0,Alternaria
7,25.53,77.0,10.75,1.36,0.9,7.6,14339.0,Alternaria
2,10.85,44.29,0.23,1.64,2.52,6.8,20054.0,Healthy
6,14.4,87.55,7.74,1.65,5.37,3.6,13561.0,Apple Scab
6,28.08,82.43,15.37,2.57,5.18,9.0,10143.0,Alternaria
4,21.01,95.34,6.4,4.55,2.61,2.5,4801.0,Cedar Apple Rust
5,16.58,89.45,6.71,2.38,5.47,5.6,12278.0,Fire Blight
5,14.94,88.66,9.91,7.52,3.11,3.3,1106.0,Apple Scab
2,5.94,51.87,0.75,0.67,4.98,9.9,18885.0,Healthy
4,15.36,85.56,7.81,0.48,5.63,1.7,15411.0,Apple Scab
7,29.38,83.15,9.25,2.75,3.83,7.6,11230.0,Alternaria
6,19.41,93.28,8.52,4.34,2.89,1.8,6619.0,Cedar Apple Rust
4,13.09,86.82,9.93,3.19,4.84,1.5,10635.0,Apple Scab
5,11.62,50.29,1.25,0.64,3.58,8.3,18325.0,Healthy
8,25.47,69.71,0.73,0.79,4.16,2.3,17503.0,Powdery Mildew
6,27.38,47.74,1.12,0.71,5.32,4.5,18098.0,Healthy
5,22.75,86.09,5.6,3.4,0.84,4.1,10052.0,Fire Blight
4,24.48,85.85,6.9,3.34,2.75,4.5,9631.0,Fire Blight
6,24.57,92.26,13.47,0.6,0.59,8.3,14300.0,Alternaria
4,21.03,87.04,5.57,3.97,3.09,6.3,9339.0,Fire Blight
4,23.16,94.26,8.38,3.19,0.87,2.0,9161.0,Cedar Apple Rust
7,26.45,87.24,7.71,0.42,3.81,6.2,14728.0,Alternaria
5,22.52,83.67,8.45,3.53,3.48,5.5,10485.0,Fire Blight
5,15.54,88.08,10.84,7.31,5.59,1.4,1464.0,Apple Scab
6,13.66,86.43,10.05,4.8,4.33,2.1,8181.0,Apple Scab
7,23.97,83.3,8.33,2.85,2.9,5.8,9664.0,Alternaria
6,37.15,92.53,10.92,2.72,5.73,5.5,10486.0,Alternaria
2,28.84,48.71,0.29,1.09,5.82,5.1,17618.0,Healthy
6,16.32,88.14,9.66,5.66,2.33,2.9,4837.0,Apple Scab
7,22.92,71.28,1.82,0.31,2.85,3.6,16180.0,Powdery Mildew
5,26.23,60.81,0.77,0.7,6.0,4.3,17562.0,Powdery Mildew
7,24.81,70.25,1.14,0.32,3.16,3.9,19195.0,Powdery Mildew
4,17.78,85.13,8.36,3.42,2.65,2.7,9659.0,Apple Scab
6,16.62,85.73,7.18,1.63,3.21,3.6,13185.0,Apple Scab
5,24.69,59.54,0.86,0.29,0.53,2.4,17039.0,Powdery Mildew
5,20.27,90.86,7.28,2.8,2.86,2.9,10584.0,Cedar Apple Rust
5,21.01,91.95,7.66,7.31,1.69,3.1,500.0,Cedar Apple Rust
6,25.86,89.97,11.07,1.41,1.59,8.8,13787.0,Alternaria
8,25.74,90.59,14.68,2.53,3.61,8.9,12165.0,Alternaria
5,19.14,87.23,9.55,6.81,4.52,3.4,1050.0,Apple Scab
4,22.03,80.19,6.33,3.67,0.85,6.6,9865.0,Fire Blight
5,22.32,88.14,8.08,3.3,4.54,6.2,9720.0,Fire Blight
8,22.21,63.46,0.16,0.79,1.31,5.6,17659.0,Powdery Mildew
6,22.04,85.6,9.65,1.05,2.41,7.4,14153.0,Alternaria
6,25.81,91.89,10.87,2.81,4.51,5.9,11296.0,Alternaria
3,28.09,83.96,1.28,7.47,4.15,6.8,2731.0,Healthy
5,25.79,80.23,5.74,2.47,1.01,5.0,10977.0,Fire Blight
6,14.21,88.88,8.99,1.55,1.49,2.2,12971.0,Apple Scab
8,26.42,83.53,19.06,1.99,5.33,6.5,12503.0,Alternaria
4,13.97,89.83,11.05,2.57,2.32,3.7,8232.0,Apple Scab
6,22.81,87.72,14.32,2.9,3.13,7.3,10936.0,Alternaria
9,25.41,83.21,7.33,0.49,5.56,5.9,15433.0,Alternaria
4,11.73,54.35,1.12,0.32,4.06,5.8,18712.0,Healthy
8,28.35,85.06,11.54,2.04,3.22,5.6,12772.0,Alternaria
5,14.48,90.86,11.58,4.38,1.45,1.6,7271.0,Apple Scab
6,20.88,57.66,2.53,2.32,5.58,6.3,13255.0,Healthy
8,22.66,95.11,15.21,1.46,1.95,8.2,13493.0,Alternaria
6,18.07,84.65,8.92,2.96,2.23,3.9,11063.0,Apple Scab
5,13.17,94.16,11.93,6.28,0.76,1.3,4022.0,Apple Scab
7,19.7,60.26,0.47,0.33,2.65,6.0,18911.0,Powdery Mildew
4,23.68,96.84,11.5,2.59,2.71,3.0,9639.0,Cedar Apple Rust
6,19.17,95.0,6.73,4.12,4.32,3.0,6935.0,Cedar Apple Rust
4,16.59,87.48,7.77,0.59,2.23,2.0,15210.0,Apple Scab
4,19.3,95.03,7.3,3.76,5.84,1.1,7673.0,Cedar Apple Rust
6,23.34,95.57,8.91,3.44,5.77,3.6,5582.0,Cedar Apple Rust
6,17.91,97.43,9.07,4.82,2.92,1.1,6806.0,Cedar Apple Rust
5,27.01,82.39,3.43,1.92,1.05,6.1,13161.0,Fire Blight
6,16.25,85.99,10.08,5.4,4.32,2.7,4957.0,Apple Scab
5,18.93,96.34,7.68,2.74,4.16,1.9,10870.0,Cedar Apple Rust
7,33.34,77.05,1.7,0.6,2.51,2.6,17600.0,Healthy
3,19.2,46.2,0.52,0.55,0.64,2.7,19375.0,Healthy
6,21.04,35.66,2.17,0.65,1.13,4.0,20440.0,Healthy
7,39.78,34.6,1.58,0.02,3.29,6.2,20896.0,Healthy
5,23.36,79.22,7.51,0.7,4.77,4.6,15121.0,Fire Blight
7,25.58,78.49,10.45,2.03,4.85,5.5,14716.0,Alternaria
6,21.61,96.89,11.59,4.71,1.19,1.9,5543.0,Cedar Apple Rust
5,22.04,51.73,1.26,0.91,5.88,3.6,17652.0,Powdery Mildew
10,17.02,66.41,2.69,0.23,0.95,5.7,19554.0,Healthy
6,27.02,80.13,11.08,1.54,5.27,8.4,13634.0,Alternaria
6,20.13,93.92,8.59,2.71,5.33,1.4,10110.0,Cedar Apple Rust
6,16.78,94.44,11.05,1.61,1.69,3.6,11605.0,Apple Scab
6,24.72,89.4,11.58,1.77,3.13,8.7,13939.0,Alternaria
7,28.12,89.55,12.81,1.23,0.97,8.2,15092.0,Alternaria
4,15.18,85.6,12.11,2.01,0.9,2.8,12255.0,Apple Scab
5,23.83,90.46,8.3,2.51,0.51,4.7,10349.0,Fire Blight
5,25.21,78.01,8.06,3.39,5.07,3.3,8536.0,Fire Blight
5,11.06,89.29,10.07,4.2,4.94,1.1,7163.0,Apple Scab
6,11.45,91.81,10.43,6.9,2.78,2.9,2477.0,Apple Scab
4,12.85,89.38,11.86,2.23,0.98,1.9,9828.0,Apple Scab
7,26.45,92.12,14.21,2.43,5.36,5.2,8341.0,Alternaria
5,25.93,88.65,6.7,2.74,1.06,5.8,11063.0,Fire Blight
4,16.76,98.38,4.37,4.44,1.11,3.2,6037.0,Cedar Apple Rust
7,24.79,85.01,17.16,2.43,2.78,6.6,8558.0,Alternaria
7,17.49,71.99,0.21,0.01,5.38,3.3,16706.0,Powdery Mildew
8,29.54,89.22,12.88,1.32,2.31,8.1,13149.0,Alternaria
7,21.29,87.03,13.48,0.3,0.72,5.7,13987.0,Alternaria
5,22.49,70.58,0.06,0.76,1.84,3.5,17428.0,Powdery Mildew
6,16.82,86.88,6.75,7.02,3.99,3.0,4081.0,Apple Scab
7,28.88,61.56,1.55,0.73,3.52,4.9,18384.0,Powdery Mildew
3,33.51,73.64,2.59,1.67,2.3,2.0,13687.0,Healthy
6,23.54,65.37,1.63,0.19,5.94,3.1,18206.0,Powdery Mildew
5,16.69,89.11,8.56,0.44,3.47,1.6,16797.0,Apple Scab
5,13.93,95.41,10.86,6.48,3.71,1.0,1756.0,Cedar Apple Rust
5,13.69,88.98,7.5,1.45,2.59,2.3,11957.0,Apple Scab
5,15.26,89.64,9.74,6.72,1.06,2.3,2673.0,Apple Scab
6,20.13,93.37,10.39,5.04,3.15,3.5,6443.0,Cedar Apple Rust
8,22.03,91.94,16.55,0.49,0.95,9.0,13347.0,Alternaria
5,21.25,62.79,1.11,0.74,0.58,2.3,17351.0,Powdery Mildew
9,29.86,66.49,1.29,0.65,5.36,5.3,16824.0,Healthy
7,27.54,92.51,9.56,0.09,2.57,7.3,15739.0,Alternaria
5,23.94,83.94,4.87,1.91,4.02,4.7,13714.0,Fire Blight
6,22.07,71.0,0.54,0.14,3.23,2.7,17881.0,Powdery Mildew
9,29.5,90.35,11.69,1.24,1.81,5.3,13136.0,Alternaria
8,17.4,61.07,1.15,0.72,4.01,5.0,18407.0,Powdery Mildew
5,25.53,71.74,3.99,3.4,1.88,4.5,11321.0,Fire Blight
3,12.85,55.97,2.23,1.69,4.47,6.6,15525.0,Healthy
4,15.65,87.07,8.49,2.85,3.37,3.6,8252.0,Apple Scab
5,15.1,84.66,7.66,2.86,5.61,2.0,10414.0,Apple Scab
5,18.65,91.81,9.12,4.6,2.16,3.7,5252.0,Cedar Apple Rust
7,28.47,73.18,0.52,0.52,2.53,2.9,19314.0,Powdery Mildew
6,13.69,90.32,11.49,3.0,4.62,1.0,10071.0,Apple Scab
5,26.25,87.49,4.06,3.52,1.23,3.1,8707.0,Fire Blight
6,18.89,58.53,0.05,0.54,4.52,2.5,19424.0,Powdery Mildew
8,20.15,74.75,1.66,0.97,1.76,3.0,15953.0,Powdery Mildew
5,9.6,90.93,10.75,6.89,4.01,3.3,1176.0,Apple Scab
12,16.57,51.26,0.26,1.49,4.25,9.6,18286.0,Healthy
4,13.84,30.23,0.97,1.17,5.38,3.4,21137.0,Healthy
7,13.46,67.2,0.11,0.63,2.19,5.0,14658.0,Powdery Mildew
5,14.65,86.92,9.77,3.5,3.94,1.3,8005.0,Apple Scab
6,14.37,88.32,12.0,2.71,4.6,2.9,10115.0,Apple Scab
6,14.87,30.89,2.07,3.28,5.73,2.0,16793.0,Healthy
8,26.15,87.98,13.31,0.03,3.55,6.0,15432.0,Alternaria
7,18.14,79.67,1.39,0.97,5.97,3.2,13775.0,Powdery Mildew
7,21.1,70.71,0.86,0.1,5.13,3.1,19207.0,Powdery Mildew
6,20.84,98.03,6.69,3.13,3.22,2.2,9734.0,Cedar Apple Rust
7,21.22,76.64,0.47,0.23,4.27,4.6,19016.0,Powdery Mildew
4,17.64,86.85,12.87,0.66,2.31,1.5,14270.0,Apple Scab
6,22.7,91.2,7.92,4.88,3.61,1.4,4633.0,Cedar Apple Rust
4,16.35,86.62,11.47,2.47,3.52,2.3,12539.0,Apple Scab
7,26.67,81.98,0.04,0.32,5.36,2.8,15043.0,Powdery Mildew
5,19.25,68.4,1.19,0.4,2.52,3.1,17187.0,Powdery Mildew
5,11.21,40.67,1.81,0.81,2.34,2.3,20067.0,Healthy
5,23.15,93.73,6.68,3.94,2.49,3.8,7787.0,Cedar Apple Rust
11,16.25,55.3,1.62,1.05,2.51,5.0,17103.0,Healthy
6,9.07,69.91,1.04,0.62,4.22,8.9,15951.0,Healthy
4,10.59,87.22,9.51,2.8,2.65,2.7,9598.0,Apple Scab
8,26.19,90.41,10.02,1.68,5.67,7.5,11609.0,Alternaria
8,22.74,89.33,16.41,1.04,2.81,5.9,13720.0,Alternaria
6,14.27,83.5,7.46,1.45,4.51,1.3,13136.0,Apple Scab
5,16.48,95.55,10.24,2.6,3.31,3.5,12120.0,Cedar Apple Rust
7,23.44,88.85,17.08,2.37,0.92,5.6,10800.0,Alternaria
5,24.12,95.06,9.66,4.27,5.84,2.2,7711.0,Cedar Apple Rust
5,23.31,81.85,1.3,0.94,2.25,2.7,14123.0,Powdery Mildew
6,27.15,86.1,11.67,1.91,3.93,7.2,13348.0,Alternaria
5,28.51,74.43,9.06,1.99,2.33,3.9,12692.0,Fire Blight
4,17.52,93.3,9.9,9.35,3.6,1.5,500.0,Cedar Apple Rust
4,18.49,96.04,5.64,2.08,4.12,3.0,11432.0,Cedar Apple Rust
6,12.92,84.11,7.08,1.56,5.15,2.0,12384.0,Apple Scab
5,24.96,89.52,5.53,3.85,4.6,5.4,8207.0,Fire Blight
5,17.22,83.48,12.43,2.02,3.91,2.9,14395.0,Apple Scab
8,18.77,88.07,8.06,1.69,1.38,5.2,12812.0,Alternaria
5,24.15,87.35,4.32,3.68,1.25,3.4,7504.0,Fire Blight
6,21.4,77.72,0.66,0.38,4.21,4.6,15744.0,Powdery Mildew
5,23.63,80.56,1.42,3.98,4.55,5.9,9690.0,Fire Blight
4,20.36,94.83,4.85,4.34,1.39,2.0,7733.0,Cedar Apple Rust
6,24.57,66.87,0.42,0.11,3.16,5.9,17671.0,Powdery Mildew
5,18.83,91.62,6.77,2.65,0.57,2.1,11357.0,Cedar Apple Rust
7,19.73,57.19,0.7,0.36,4.13,2.5,18909.0,Powdery Mildew
8,22.27,91.67,14.9,2.68,5.37,6.8,8657.0,Alternaria
8,11.67,55.64,0.68,2.72,4.02,4.3,14002.0,Healthy
5,26.5,92.47,1.46,1.13,1.19,5.3,13855.0,Fire Blight
7,23.83,79.72,1.57,0.52,0.67,2.1,16422.0,Powdery Mildew
8,29.03,87.83,14.02,1.29,2.13,7.4,14587.0,Alternaria
4,23.02,90.82,4.86,2.73,1.71,3.1,10566.0,Cedar Apple Rust
1,4.01,66.34,0.59,1.22,3.67,8.7,17558.0,Healthy
6,22.14,100.0,8.78,2.44,3.12,2.2,11187.0,Cedar Apple Rust
7,20.74,77.57,1.46,0.88,0.68,2.4,15990.0,Powdery Mildew
5,25.11,91.07,4.94,1.09,5.47,6.8,12399.0,Fire Blight
4,17.39,90.15,8.93,2.96,4.86,2.1,10032.0,Apple Scab
11,34.14,41.0,1.64,1.57,0.96,2.3,18707.0,Healthy
4,19.74,98.36,7.7,2.72,5.87,1.6,10642.0,Cedar Apple Rust
4,22.01,81.91,3.48,3.99,5.91,3.2,7947.0,Fire Blight
5,17.55,84.8,11.62,2.27,4.09,3.9,12202.0,Apple Scab
12,17.14,57.26,0.17,2.02,3.76,5.3,15383.0,Healthy
4,14.94,57.39,0.65,1.01,3.56,4.3,17992.0,Healthy
5,18.05,95.91,10.02,3.53,1.4,2.2,9443.0,Cedar Apple Rust
5,27.61,70.79,0.14,0.27,0.68,3.3,18346.0,Powdery Mildew
6,15.97,83.85,11.52,2.41,0.95,1.9,12561.0,Apple Scab
5,18.39,92.62,9.4,0.33,1.92,1.7,15140.0,Cedar Apple Rust
7,18.17,65.34,1.83,0.26,4.11,4.4,18208.0,Powdery Mildew
5,19.27,93.38,6.47,5.11,1.67,1.4,5078.0,Cedar Apple Rust
7,17.7,63.49,0.0,0.91,0.52,4.4,16858.0,Powdery Mildew
5,25.85,70.34,1.72,0.35,4.64,2.2,18524.0,Powdery Mildew
8,22.2,89.08,13.47,2.11,5.11,8.1,12110.0,Alternaria
9,26.62,89.33,11.56,2.67,1.43,7.1,11930.0,Alternaria
4,18.7,98.35,10.15,6.19,1.7,2.6,3124.0,Cedar Apple Rust
5,20.42,93.64,6.83,4.94,1.52,3.3,6282.0,Cedar Apple Rust
5,23.58,81.6,3.32,2.78,0.7,6.3,9171.0,Fire Blight
5,33.79,30.15,1.94,0.37,4.56,8.9,20674.0,Healthy
4,22.12,61.5,0.35,0.43,5.96,7.5,16977.0,Healthy
4,21.4,94.64,9.0,5.18,2.8,2.4,5664.0,Cedar Apple Rust
5,20.54,65.25,1.38,0.81,1.87,3.4,16654.0,Powdery Mildew
10,12.79,36.86,2.35,1.08,3.23,7.2,19887.0,Healthy
4,23.63,93.16,9.31,8.08,3.23,2.6,500.0,Cedar Apple Rust
4,16.42,85.29,10.6,6.65,4.69,1.0,4481.0,Apple Scab
5,20.35,94.81,6.91,3.73,1.23,3.2,6390.0,Cedar Apple Rust
5,20.87,95.36,9.12,3.87,3.79,3.8,8467.0,Cedar Apple Rust
6,21.36,66.2,0.8,0.62,4.66,2.1,14466.0,Powdery Mildew
5,24.5,79.34,4.9,2.69,0.8,5.6,12832.0,Fire Blight
4,22.89,97.81,10.56,4.43,0.89,2.3,5246.0,Cedar Apple Rust
4,17.65,94.37,6.12,7.02,5.76,1.8,500.0,Cedar Apple Rust
6,31.4,82.78,11.56,2.03,4.82,6.7,11656.0,Alternaria
2,20.94,55.75,1.78,1.57,4.12,5.2,15955.0,Healthy
6,19.21,98.22,8.67,5.1,2.74,2.8,5246.0,Cedar Apple Rust
6,27.21,70.57,1.43,0.22,4.75,5.5,17177.0,Powdery Mildew
1,16.92,45.28,1.13,0.64,5.44,8.5,18618.0,Healthy
4,14.95,91.93,11.03,0.99,2.55,1.9,15018.0,Apple Scab
6,16.53,93.52,7.53,6.28,3.11,2.0,3066.0,Cedar Apple Rust
4,21.6,89.72,7.45,3.17,4.57,6.1,8074.0,Fire Blight
8,21.09,70.87,0.48,0.43,1.02,5.0,16670.0,Powdery Mildew
5,16.17,84.44,9.95,2.33,1.99,2.7,11348.0,Apple Scab
5,25.41,66.62,0.5,0.67,1.38,3.6,16619.0,Powdery Mildew
5,17.48,47.67,2.55,1.62,4.7,8.4,18480.0,Healthy
4,15.61,87.44,12.07,10.72,0.89,2.2,500.0,Apple Scab
5,14.23,87.64,7.1,5.43,4.48,2.5,5864.0,Apple Scab
7,24.94,83.24,0.73,0.28,4.17,2.4,15453.0,Powdery Mildew
5,25.1,67.33,1.66,0.07,5.94,2.7,18171.0,Powdery Mildew
3,17.52,46.4,1.79,0.14,3.87,3.6,19800.0,Healthy
10,22.01,34.6,0.75,0.32,2.17,9.2,21328.0,Healthy
4,24.31,73.29,7.58,2.05,1.71,4.5,14872.0,Fire Blight
7,29.33,95.46,11.12,2.34,4.3,6.8,10733.0,Alternaria
5,26.06,96.5,6.01,2.71,2.99,4.3,9027.0,Fire Blight
6,23.03,95.59,6.83,6.81,0.53,2.1,1630.0,Cedar Apple Rust
5,13.19,88.67,6.88,7.44,3.11,2.0,1450.0,Apple Scab
7,21.46,94.26,9.9,0.27,2.73,8.5,15469.0,Alternaria
4,23.38,79.95,4.5,0.89,2.66,4.7,15358.0,Fire Blight
4,23.02,88.62,4.76,1.45,4.82,3.5,12708.0,Fire Blight
5,25.21,52.93,0.66,0.68,5.45,2.2,18375.0,Powdery Mildew
5,27.86,51.71,1.0,0.21,4.6,7.9,19869.0,Healthy
4,20.16,94.36,8.45,3.11,5.46,2.5,8673.0,Cedar Apple Rust
6,18.71,88.16,11.56,0.53,1.63,3.3,16723.0,Apple Scab
5,21.66,54.59,2.13,0.01,4.65,4.9,20246.0,Healthy
5,18.38,93.48,8.53,0.57,1.78,3.1,15229.0,Apple Scab
5,23.96,95.21,6.78,5.35,5.74,3.6,4880.0,Cedar Apple Rust
5,20.02,96.02,5.21,7.61,3.85,1.6,1923.0,Cedar Apple Rust
7,29.41,88.37,15.5,2.48,3.08,5.8,10919.0,Alternaria
5,24.21,93.43,4.31,3.81,0.57,4.1,7606.0,Fire Blight
9,28.43,94.66,9.86,1.69,1.96,6.2,12283.0,Alternaria
5,13.52,90.34,7.8,2.22,3.71,1.3,12127.0,Apple Scab
7,26.66,82.98,10.02,2.55,0.88,8.5,12387.0,Alternaria
6,23.6,85.08,5.76,2.53,4.95,7.9,12015.0,Alternaria
5,24.32,67.89,0.99,0.97,4.71,3.2,15785.0,Powdery Mildew
5,14.17,88.67,12.26,4.36,0.56,3.1,7524.0,Apple Scab
4,19.59,94.8,6.64,4.5,5.52,1.4,5379.0,Cedar Apple Rust
7,29.88,44.45,2.21,0.57,5.42,5.7,19603.0,Healthy
5,31.04,90.07,8.46,2.38,2.06,3.8,10710.0,Fire Blight
5,13.33,86.59,9.19,0.32,0.7,3.6,13744.0,Apple Scab
8,0.79,51.72,1.05,0.7,1.27,4.0,20169.0,Healthy
11,31.1,48.24,1.06,0.4,3.61,6.9,17972.0,Healthy
9,24.23,92.27,15.57,1.21,1.87,8.2,12656.0,Alternaria
5,28.41,82.77,3.37,0.77,3.7,4.1,16117.0,Fire Blight
5,14.35,87.26,12.19,7.8,5.48,1.2,1141.0,Apple Scab
4,18.33,91.76,5.6,5.49,2.86,1.0,4389.0,Cedar Apple Rust
9,27.74,90.71,9.14,1.45,4.61,5.4,12931.0,Alternaria
7,22.77,71.42,1.58,0.83,1.59,5.3,15354.0,Powdery Mildew
3,20.58,49.36,0.93,1.0,1.79,7.6,18583.0,Healthy
7,29.51,91.23,8.95,0.91,4.28,7.4,14115.0,Alternaria
5,28.67,87.36,7.76,3.8,2.04,5.8,9002.0,Fire Blight
5,27.06,57.34,0.19,0.36,2.65,3.8,16956.0,Powdery Mildew
5,20.2,95.76,8.15,2.96,4.64,2.4,9183.0,Cedar Apple Rust
7,14.58,65.55,1.4,0.92,3.75,6.7,16359.0,Healthy
8,26.77,87.55,11.82,2.27,4.59,8.8,11776.0,Alternaria
2,8.88,63.95,2.72,0.21,4.2,8.1,18700.0,Healthy
7,20.83,41.03,2.64,0.92,5.25,6.1,18169.0,Healthy
4,15.88,90.6,10.36,3.93,3.37,3.5,9537.0,Apple Scab
6,22.21,93.61,5.87,6.7,0.92,2.2,2262.0,Cedar Apple Rust
4,17.15,85.62,7.13,2.14,3.27,2.1,11960.0,Apple Scab
6,32.58,97.91,17.31,0.57,0.98,5.8,15474.0,Alternaria
5,26.52,77.9,7.92,2.31,5.77,4.3,12591.0,Fire Blight
5,20.97,95.87,8.1,6.08,0.5,2.4,4296.0,Cedar Apple Rust
6,21.95,73.39,0.73,0.52,4.11,2.8,18783.0,Powdery Mildew
4,14.29,91.45,11.45,7.3,2.77,3.1,1551.0,Apple Scab
4,22.3,96.25,6.61,5.06,1.11,1.2,3940.0,Cedar Apple Rust
7,31.28,79.34,2.99,0.07,2.66,6.4,17398.0,Healthy
7,9.51,39.22,0.76,0.35,2.38,5.1,20077.0,Healthy
4,19.41,92.63,6.95,3.47,4.92,3.4,8378.0,Cedar Apple Rust
6,18.16,92.8,5.49,6.21,0.81,2.9,1584.0,Cedar Apple Rust
5,18.48,57.12,0.39,0.31,2.18,4.7,19962.0,Powdery Mildew
5,24.31,79.26,1.37,0.85,3.5,4.7,14901.0,Fire Blight
5,34.63,76.95,0.3,1.02,5.56,7.5,16927.0,Healthy
6,12.72,84.63,7.83,0.56,2.68,3.2,15445.0,Apple Scab
5,15.47,95.87,7.98,2.02,1.09,2.6,11868.0,Cedar Apple Rust
6,22.37,94.62,6.25,9.04,5.42,4.0,500.0,Cedar Apple Rust
4,14.62,91.95,10.02,8.37,3.73,3.1,500.0,Apple Scab
8,23.65,88.69,12.81,2.5,1.14,7.5,13198.0,Alternaria
4,24.25,89.42,4.33,5.95,5.86,4.0,2267.0,Cedar Apple Rust
6,22.1,45.96,1.43,1.23,4.8,4.7,17568.0,Healthy
4,29.12,85.24,8.15,1.03,1.11,6.4,15086.0,Fire Blight
6,18.9,97.65,7.01,0.0,2.28,2.9,16061.0,Cedar Apple Rust
4,21.17,94.45,6.84,2.67,4.18,3.5,10129.0,Cedar Apple Rust
4,19.51,95.95,11.7,5.37,5.15,3.8,4601.0,Cedar Apple Rust
8,26.56,62.38,1.87,0.78,3.39,3.5,18091.0,Powdery Mildew
5,22.81,82.79,5.75,0.86,4.38,3.6,15396.0,Fire Blight
5,23.83,90.09,4.98,3.08,0.67,4.3,9487.0,Fire Blight
4,17.89,98.51,8.21,6.24,5.9,3.4,2436.0,Cedar Apple Rust
2,26.2,52.76,0.39,0.99,3.64,7.4,18692.0,Healthy
6,21.73,95.58,6.0,5.78,3.47,3.3,3182.0,Cedar Apple Rust
6,15.41,90.17,9.44,0.68,1.06,1.0,14488.0,Apple Scab
