Actual_Disease,Predicted_Disease,Correct,Prob_Alternaria_%,Prob_Apple Scab_%,Prob_Cedar Apple Rust_%,Prob_Fire Blight_%,Prob_Healthy_%,Prob_Powdery Mildew_%
Cedar Apple Rust,Cedar Apple Rust,True,5.440534e-08,0.22413772,99.77484,0.0009863494,3.7832604e-05,3.5812675e-10
Cedar Apple Rust,Cedar Apple Rust,True,0.0017139027,0.0022026664,99.99572,0.00034094727,2.3121022e-05,5.604432e-09
Cedar Apple Rust,Cedar Apple Rust,True,2.7205985e-08,0.33619902,99.663795,1.2100975e-06,3.5972541e-06,9.204052e-12
Fire Blight,Fire Blight,True,0.001675775,1.7798122e-05,1.4180323e-05,99.96749,0.030795822,1.9510694e-06
Apple Scab,Apple Scab,True,1.5303654e-07,99.9749,0.024964124,8.541996e-07,0.00013017376,2.6002764e-11
Cedar Apple Rust,Cedar Apple Rust,True,1.0414963e-06,0.086565666,99.91094,0.0024348034,4.649508e-05,4.0560955e-09
Healthy,Powdery Mildew,False,0.000723166,3.7975642e-06,6.9593357e-06,0.0001505009,14.386578,85.61254
Healthy,Healthy,True,1.2948183e-14,7.613856e-09,1.2923953e-14,8.178659e-08,99.99975,0.0002560413
Healthy,Healthy,True,5.89406e-12,3.3795294e-10,6.402036e-18,7.7680554e-13,99.320786,0.67921126
Healthy,Healthy,True,1.8701184e-12,4.6730157e-14,4.051524e-21,9.584483e-16,99.9996,0.00039545548
Fire Blight,Fire Blight,True,0.0013006367,0.018941442,0.00096627284,99.96634,0.012454936,6.851658e-06
Alternaria,Alternaria,True,99.99994,2.8873856e-06,2.1800263e-08,3.6949213e-08,5.7264067e-05,1.397693e-13
Cedar Apple Rust,Cedar Apple Rust,True,1.6540783e-07,0.0013148444,99.99869,1.0026485e-07,8.738119e-08,1.6976577e-13
Powdery Mildew,Powdery Mildew,True,2.778106e-07,1.3509081e-06,1.6854348e-10,9.261056e-06,28.921207,71.07878
Healthy,Healthy,True,3.7584737e-08,3.6353033e-06,1.2749981e-12,3.4421057e-17,99.99976,0.00023413647
Alternaria,Alternaria,True,99.999985,1.0777498e-12,3.2868333e-16,2.51894e-08,1.2799739e-05,5.8959003e-21
Cedar Apple Rust,Cedar Apple Rust,True,1.1182137e-05,0.81896484,99.180336,0.00056448195,0.00012596989,1.22247865e-08
Apple Scab,Apple Scab,True,0.002489902,83.312614,16.683105,0.0013579943,0.00043016294,3.2488412e-09
Alternaria,Alternaria,True,100.0,1.1646126e-15,5.89256e-18,5.8435805e-11,1.4216894e-07,6.489565e-24
Alternaria,Alternaria,True,100.0,1.0848701e-18,2.829123e-20,1.0312696e-16,3.9130926e-10,9.762283e-28
Apple Scab,Apple Scab,True,4.997615e-11,99.9995,0.00030584377,0.00018705503,5.9441204e-06,5.3812708e-14
Fire Blight,Fire Blight,True,0.001312306,3.0610947e-05,0.0041714227,99.99388,0.00059420126,2.2089667e-08
Fire Blight,Fire Blight,True,0.000634318,0.08709227,0.00031560258,99.85284,0.059117835,1.3071766e-06
Apple Scab,Apple Scab,True,2.1276136e-12,99.996124,0.003859741,2.821067e-08,1.2184809e-05,2.1412984e-14
Apple Scab,Apple Scab,True,1.9573147e-10,99.98534,0.0146467155,5.454857e-10,1.264698e-05,2.0353665e-14
Apple Scab,Apple Scab,True,1.8764326e-12,99.99621,0.0037870104,2.545221e-06,2.4900528e-06,7.223116e-15
Alternaria,Alternaria,True,100.0,2.335251e-10,3.7665324e-09,9.540678e-15,6.1659393e-09,1.01913285e-19
Fire Blight,Fire Blight,True,0.0010827678,8.504972e-07,2.8572736e-05,99.99809,0.00079905015,2.586733e-09
Cedar Apple Rust,Cedar Apple Rust,True,4.0294312e-06,0.024850119,99.954445,0.02049266,0.00020511704,7.368065e-08
Alternaria,Alternaria,True,100.0,2.5665474e-14,3.4293339e-18,4.982744e-19,3.6065398e-10,1.9588527e-29
Powdery Mildew,Powdery Mildew,True,1.436666e-06,1.6175831e-07,1.9113912e-08,5.8666865e-07,0.42958823,99.57041
Alternaria,Alternaria,True,100.0,5.4264257e-20,6.1216535e-21,1.5190293e-21,1.2129914e-11,1.6226208e-29
Alternaria,Alternaria,True,100.0,3.8122834e-09,5.363575e-12,1.8243356e-12,2.4449415e-07,8.889849e-20
Powdery Mildew,Powdery Mildew,True,0.00037920632,3.0059759e-05,1.2566435e-05,0.003766195,1.1562362,98.83957
Apple Scab,Apple Scab,True,1.0166268e-05,98.13139,1.8659922,0.00017614629,0.0024267917,1.8844034e-08
Powdery Mildew,Powdery Mildew,True,1.0892866e-05,4.8708176e-07,2.4680888e-08,3.6148838e-06,3.5525322,96.44746
Healthy,Healthy,True,1.0674839e-06,0.00014855881,7.8885405e-06,0.84867096,99.148285,0.0028902015
Powdery Mildew,Powdery Mildew,True,4.0772757e-05,3.5854832e-06,3.581941e-07,9.402311e-05,0.9484437,99.051414
Apple Scab,Apple Scab,True,6.073237e-07,99.42282,0.5726664,0.0032863575,0.0012239803,2.6081223e-08
Cedar Apple Rust,Apple Scab,False,1.15550625e-11,69.75565,30.244339,7.89404e-08,3.3100669e-06,9.442274e-15
Apple Scab,Apple Scab,True,5.701828e-07,99.85345,0.14048006,0.003955297,0.0021220362,3.835216e-08
Apple Scab,Apple Scab,True,2.0049153e-09,99.27719,0.72276163,4.6282103e-06,4.5552555e-05,3.3472567e-12
Cedar Apple Rust,Cedar Apple Rust,True,7.4280724e-05,0.070071645,99.929825,2.1626221e-05,8.404462e-06,1.4367482e-10
Alternaria,Alternaria,True,100.0,2.3759054e-22,9.5930994e-27,3.88575e-26,6.890853e-13,5.160576e-38
Powdery Mildew,Powdery Mildew,True,2.3334313e-05,2.2340011e-05,2.827947e-07,0.00030457883,2.4605381,97.53912
Healthy,Healthy,True,3.9537076e-06,9.099695e-07,4.6289625e-09,4.500012e-11,97.06589,2.9341123
Alternaria,Alternaria,True,100.0,1.7420203e-14,7.206743e-14,9.073007e-12,1.5399355e-08,3.3506964e-19
Fire Blight,Fire Blight,True,0.0051393285,0.003998057,0.0068584033,99.961494,0.022404997,0.00010450607
Powdery Mildew,Powdery Mildew,True,2.5840021e-05,1.6777958e-06,5.778677e-07,2.8759408e-05,0.57560724,99.42435
Alternaria,Alternaria,True,100.0,6.7064675e-13,1.3464341e-11,5.2005776e-20,7.2288253e-10,5.769724e-21
Powdery Mildew,Powdery Mildew,True,8.8023756e-07,1.3567211e-06,1.070685e-09,5.8192658e-08,9.377403,90.62259
Fire Blight,Fire Blight,True,0.0011759185,0.0075220075,0.00046109175,99.85857,0.132135,0.00013697411
Healthy,Healthy,True,1.1531584e-15,9.087165e-10,1.942998e-17,3.4591892e-08,100.0,8.648266e-08
Apple Scab,Apple Scab,True,8.583099e-07,99.83233,0.055683292,0.11003334,0.0019537841,6.374178e-09
Apple Scab,Apple Scab,True,2.0198145e-07,99.980515,0.015035181,0.002605875,0.0018435663,1.292116e-08
Cedar Apple Rust,Cedar Apple Rust,True,3.7405523e-05,2.616429,97.34602,0.03722876,0.00027961138,8.806723e-09
Powdery Mildew,Powdery Mildew,True,7.308195e-06,1.8759323e-07,1.1947783e-07,3.2052344e-06,0.5347089,99.46529
Apple Scab,Apple Scab,True,7.484094e-11,99.91533,0.08467606,2.2133273e-08,3.9088773e-06,4.003054e-14
Fire Blight,Fire Blight,True,0.008575554,0.0011669355,0.3092297,99.64605,0.03477755,0.0001942918
Powdery Mildew,Powdery Mildew,True,1.4942594e-06,1.2348261e-06,2.650063e-09,7.452179e-07,5.941383,94.05862
Powdery Mildew,Powdery Mildew,True,1.0443632e-05,3.3251488e-06,2.4923736e-07,1.2104379e-06,1.4229853,98.576996
Apple Scab,Apple Scab,True,7.922253e-13,99.99925,0.0007444502,1.0489352e-09,3.691349e-06,5.272058e-16
Healthy,Healthy,True,2.9887454e-18,1.534207e-19,1.7925498e-32,5.0543176e-36,100.0,7.664769e-17
Healthy,Healthy,True,3.4030453e-20,4.2992424e-13,1.1749958e-24,3.4778293e-17,100.0,2.137905e-06
Powdery Mildew,Powdery Mildew,True,2.1817007e-06,1.7330583e-06,4.0862376e-09,4.0175615e-07,8.185879,91.81412
Apple Scab,Apple Scab,True,9.686988e-10,99.98184,0.018063858,1.0466246e-05,8.822573e-05,1.110357e-11
Apple Scab,Apple Scab,True,1.7664894e-08,99.99686,0.0031410505,4.5013851e-07,7.518446e-06,2.125162e-13
Healthy,Healthy,True,8.780027e-17,3.1810412e-11,6.312762e-24,8.7060534e-17,100.0,3.3030565e-07
Alternaria,Alternaria,True,100.0,3.6404476e-13,2.7582974e-14,3.9585084e-18,2.2049448e-10,4.6652653e-23
Powdery Mildew,Powdery Mildew,True,0.00019109163,2.7098475e-05,1.0419492e-05,0.00018613633,0.6947657,99.30482
Powdery Mildew,Powdery Mildew,True,2.0135399e-06,1.215612e-07,2.7636318e-08,8.810929e-07,0.34722313,99.65277
Cedar Apple Rust,Cedar Apple Rust,True,2.7874397e-05,0.0035776047,99.99549,0.0008732035,3.4024313e-05,3.778864e-08
Powdery Mildew,Powdery Mildew,True,2.6113191e-06,4.09302e-08,4.4189633e-08,1.5155822e-06,0.22883444,99.771164
Apple Scab,Apple Scab,True,3.1460366e-11,99.99671,0.0032129802,6.8098816e-05,5.6421964e-06,5.2206168e-14
Cedar Apple Rust,Cedar Apple Rust,True,3.74313e-05,0.08452072,99.9151,0.000243407,9.664266e-05,1.2636462e-08
Apple Scab,Apple Scab,True,1.1282665e-10,99.99533,0.004424158,0.00023597362,1.4782543e-05,3.5071026e-13
Powdery Mildew,Powdery Mildew,True,2.4919984e-05,3.0928973e-07,9.538157e-07,2.4066705e-05,0.5268331,99.47312
Powdery Mildew,Powdery Mildew,True,0.00015678912,7.099124e-05,3.6023284e-06,0.0014323165,1.8424401,98.15591
Healthy,Healthy,True,1.863355e-15,2.0454623e-10,4.2461595e-20,4.0449906e-15,99.99163,0.008362671
Cedar Apple Rust,Cedar Apple Rust,True,0.0033412136,0.0125053,83.248474,16.73143,0.004253724,6.126521e-06
Healthy,Healthy,True,4.864765e-12,2.2990838e-08,3.732433e-17,5.2206026e-24,100.0,2.2200133e-07
Healthy,Healthy,True,3.6825124e-08,1.347461e-12,4.666164e-19,7.432689e-10,100.0,1.4072128e-07
Apple Scab,Apple Scab,True,1.6344884e-11,99.99958,0.00037202533,1.14224495e-05,3.632478e-05,6.0507946e-13
Alternaria,Alternaria,True,100.0,2.1372196e-14,1.4023823e-14,7.3655987e-17,3.0358427e-09,1.1409208e-21
Alternaria,Alternaria,True,100.0,1.1513048e-13,1.0310926e-16,9.918998e-22,3.9759186e-11,5.644375e-28
Apple Scab,Apple Scab,True,1.3182466e-06,99.98326,0.012329858,0.0001719987,0.004233638,1.1656224e-07
Cedar Apple Rust,Cedar Apple Rust,True,8.899559e-07,28.308006,71.68123,0.010610723,0.00015461716,8.6251933e-10
Alternaria,Alternaria,True,100.0,5.046365e-12,3.888604e-15,6.873377e-18,6.721743e-10,2.1031412e-26
Cedar Apple Rust,Cedar Apple Rust,True,2.3943113e-07,0.0016241486,99.99808,0.0002967706,1.9443285e-06,8.500867e-11
Powdery Mildew,Powdery Mildew,True,0.06387998,0.008012653,0.015846048,2.4400444,4.2064424,93.26577
Alternaria,Alternaria,True,100.0,4.8931384e-12,1.8351115e-13,9.232174e-09,6.47192e-07,2.668536e-19
Fire Blight,Fire Blight,True,0.0018136417,0.003011114,1.699246e-05,99.96059,0.034572292,1.8468744e-07
Cedar Apple Rust,Cedar Apple Rust,True,1.1816982e-11,37.86206,62.13793,1.7495886e-06,4.832455e-06,9.667599e-15
Cedar Apple Rust,Cedar Apple Rust,True,3.208908e-05,0.18259203,99.671486,0.14495035,0.0009380835,6.419851e-07
Apple Scab,Apple Scab,True,2.1162004e-06,99.98476,0.009444813,0.0002957561,0.005500176,1.9861662e-07
Fire Blight,Fire Blight,True,0.0014544645,2.1216327e-05,0.0047744573,99.99064,0.0031014432,1.0562342e-06
Apple Scab,Apple Scab,True,3.6176755e-09,99.99944,0.00029408513,0.0002487008,1.0000576e-05,5.937308e-13
Alternaria,Alternaria,True,99.999596,0.00014392649,3.7578475e-06,8.2600327e-10,0.00026386837,2.167917e-10
Fire Blight,Fire Blight,True,0.009198948,0.0036319878,0.29966635,99.65748,0.029920844,0.000115605
Powdery Mildew,Powdery Mildew,True,0.00033864623,7.998312e-06,1.2052823e-05,0.00084767037,0.6751811,99.3236
Fire Blight,Fire Blight,True,0.0019034374,0.0008443384,0.0004501906,99.88377,0.11296504,6.303063e-05
Cedar Apple Rust,Cedar Apple Rust,True,4.246965e-06,0.02679401,99.94943,0.023550594,0.00021848228,7.746015e-08
Powdery Mildew,Powdery Mildew,True,3.2099782e-05,4.910005e-07,2.428798e-07,7.097396e-05,0.7329169,99.26698
Cedar Apple Rust,Cedar Apple Rust,True,0.00014683124,8.904261,90.86294,0.22661984,0.0060358,3.1562624e-06
Powdery Mildew,Powdery Mildew,True,6.6564024e-07,9.671109e-07,1.0388005e-09,1.2244931e-07,6.4281745,93.571815
Alternaria,Alternaria,True,100.0,2.841191e-14,1.6412012e-16,8.637687e-22,1.16085426e-10,1.1067433e-27
Healthy,Healthy,True,2.8124822e-08,1.1605824e-05,1.3506178e-12,9.700883e-12,99.98814,0.01184475
Fire Blight,Fire Blight,True,0.018563686,2.056876e-05,0.037038162,99.78265,0.1406951,0.021036897
Powdery Mildew,Powdery Mildew,True,5.9187078e-05,3.1064114e-06,2.966319e-06,3.681267e-05,0.6823237,99.31758
Alternaria,Alternaria,True,100.0,9.345461e-19,3.3441823e-20,7.488852e-22,7.292035e-12,1.2714058e-29
Cedar Apple Rust,Fire Blight,False,0.0027235756,0.053111378,15.111221,84.773506,0.05929768,0.00013488637
Healthy,Healthy,True,7.6156616e-24,6.3456684e-17,3.384675e-27,1.2103319e-14,100.0,1.7120762e-16
